"","year","gender","agegroup","measurement","value"
"284",2009,"Male","[35:40)","artsize",21
"285",2011,"Male","[35:40)","artsize",21
"286",2012,"Male","[35:40)","artsize",40
"287",2014,"Male","[35:40)","artsize",68
"288",2016,"Male","[35:40)","artsize",80
"289",1999,"Female","[40:45)","artsize",0
"290",2000,"Female","[40:45)","artsize",0
"291",2002,"Female","[40:45)","artsize",0
"292",2003,"Female","[40:45)","artsize",0
"293",2004,"Female","[40:45)","artsize",0
"294",2006,"Female","[40:45)","artsize",15
"295",2007,"Female","[40:45)","artsize",32
"296",2009,"Female","[40:45)","artsize",34
"297",2011,"Female","[40:45)","artsize",54
"298",2012,"Female","[40:45)","artsize",75
"299",2014,"Female","[40:45)","artsize",99
"300",2016,"Female","[40:45)","artsize",138
"301",1999,"Male","[40:45)","artsize",0
"302",2000,"Male","[40:45)","artsize",0
"303",2002,"Male","[40:45)","artsize",0
"304",2003,"Male","[40:45)","artsize",0
"305",2004,"Male","[40:45)","artsize",0
"306",2006,"Male","[40:45)","artsize",8
"307",2007,"Male","[40:45)","artsize",15
"308",2009,"Male","[40:45)","artsize",21
"309",2011,"Male","[40:45)","artsize",26
"310",2012,"Male","[40:45)","artsize",31
"311",2014,"Male","[40:45)","artsize",45
"312",2016,"Male","[40:45)","artsize",62
"313",1999,"Female","[45:50)","artsize",0
"314",2000,"Female","[45:50)","artsize",0
"315",2002,"Female","[45:50)","artsize",0
"316",2003,"Female","[45:50)","artsize",0
"317",2004,"Female","[45:50)","artsize",0
"318",2006,"Female","[45:50)","artsize",10
"319",2007,"Female","[45:50)","artsize",13
"320",2009,"Female","[45:50)","artsize",17
"321",2011,"Female","[45:50)","artsize",35
"322",2012,"Female","[45:50)","artsize",56
"323",2014,"Female","[45:50)","artsize",64
"324",2016,"Female","[45:50)","artsize",93
"325",1999,"Male","[45:50)","artsize",0
"326",2000,"Male","[45:50)","artsize",0
"327",2002,"Male","[45:50)","artsize",0
"328",2003,"Male","[45:50)","artsize",0
"329",2004,"Male","[45:50)","artsize",0
"330",2006,"Male","[45:50)","artsize",1
"331",2007,"Male","[45:50)","artsize",13
"332",2009,"Male","[45:50)","artsize",20
"333",2011,"Male","[45:50)","artsize",25
"334",2012,"Male","[45:50)","artsize",26
"335",2014,"Male","[45:50)","artsize",42
"336",2016,"Male","[45:50)","artsize",55
"337",1999,"Female","[15:20)","circsize",0
"338",2000,"Female","[15:20)","circsize",0
"339",2002,"Female","[15:20)","circsize",0
"340",2003,"Female","[15:20)","circsize",0
"341",2004,"Female","[15:20)","circsize",0
"342",2006,"Female","[15:20)","circsize",0
"343",2007,"Female","[15:20)","circsize",0
"344",2009,"Female","[15:20)","circsize",0
"345",2011,"Female","[15:20)","circsize",0
"346",2012,"Female","[15:20)","circsize",0
"347",2014,"Female","[15:20)","circsize",0
"348",2016,"Female","[15:20)","circsize",0
"349",1999,"Male","[15:20)","circsize",77
"350",2000,"Male","[15:20)","circsize",77
"351",2002,"Male","[15:20)","circsize",92
"352",2003,"Male","[15:20)","circsize",96
"353",2004,"Male","[15:20)","circsize",93
"354",2006,"Male","[15:20)","circsize",114
"355",2007,"Male","[15:20)","circsize",169
"356",2009,"Male","[15:20)","circsize",203
"357",2011,"Male","[15:20)","circsize",293
"358",2012,"Male","[15:20)","circsize",361
"359",2014,"Male","[15:20)","circsize",589
"360",2016,"Male","[15:20)","circsize",781
"361",1999,"Female","[20:25)","circsize",0
"362",2000,"Female","[20:25)","circsize",0
"363",2002,"Female","[20:25)","circsize",0
"364",2003,"Female","[20:25)","circsize",0
"365",2004,"Female","[20:25)","circsize",0
"366",2006,"Female","[20:25)","circsize",0
"367",2007,"Female","[20:25)","circsize",0
"368",2009,"Female","[20:25)","circsize",0
"369",2011,"Female","[20:25)","circsize",0
"370",2012,"Female","[20:25)","circsize",0
"371",2014,"Female","[20:25)","circsize",0
"372",2016,"Female","[20:25)","circsize",0
"373",1999,"Male","[20:25)","circsize",74
"374",2000,"Male","[20:25)","circsize",84
"375",2002,"Male","[20:25)","circsize",92
"376",2003,"Male","[20:25)","circsize",95
"377",2004,"Male","[20:25)","circsize",102
"378",2006,"Male","[20:25)","circsize",144
"379",2007,"Male","[20:25)","circsize",194
"380",2009,"Male","[20:25)","circsize",211
"381",2011,"Male","[20:25)","circsize",262
"382",2012,"Male","[20:25)","circsize",347
"383",2014,"Male","[20:25)","circsize",461
"384",2016,"Male","[20:25)","circsize",582
"385",1999,"Female","[25:30)","circsize",0
"386",2000,"Female","[25:30)","circsize",0
"387",2002,"Female","[25:30)","circsize",0
"388",2003,"Female","[25:30)","circsize",0
"389",2004,"Female","[25:30)","circsize",0
"390",2006,"Female","[25:30)","circsize",0
"391",2007,"Female","[25:30)","circsize",0
"392",2009,"Female","[25:30)","circsize",0
"393",2011,"Female","[25:30)","circsize",0
"394",2012,"Female","[25:30)","circsize",0
"395",2014,"Female","[25:30)","circsize",0
"396",2016,"Female","[25:30)","circsize",0
"397",1999,"Male","[25:30)","circsize",68
"398",2000,"Male","[25:30)","circsize",74
"399",2002,"Male","[25:30)","circsize",108
"400",2003,"Male","[25:30)","circsize",97
"401",2004,"Male","[25:30)","circsize",112
"402",2006,"Male","[25:30)","circsize",149
"403",2007,"Male","[25:30)","circsize",202
"404",2009,"Male","[25:30)","circsize",252
"405",2011,"Male","[25:30)","circsize",310
"406",2012,"Male","[25:30)","circsize",379
"407",2014,"Male","[25:30)","circsize",437
"408",2016,"Male","[25:30)","circsize",505
"409",1999,"Female","[30:35)","circsize",0
"410",2000,"Female","[30:35)","circsize",0
"411",2002,"Female","[30:35)","circsize",0
"412",2003,"Female","[30:35)","circsize",0
"413",2004,"Female","[30:35)","circsize",0
"414",2006,"Female","[30:35)","circsize",0
"415",2007,"Female","[30:35)","circsize",0
"416",2009,"Female","[30:35)","circsize",0
"417",2011,"Female","[30:35)","circsize",0
"418",2012,"Female","[30:35)","circsize",0
"419",2014,"Female","[30:35)","circsize",0
"420",2016,"Female","[30:35)","circsize",0
"421",1999,"Male","[30:35)","circsize",71
"422",2000,"Male","[30:35)","circsize",78
"423",2002,"Male","[30:35)","circsize",88
"424",2003,"Male","[30:35)","circsize",80
"425",2004,"Male","[30:35)","circsize",76
"426",2006,"Male","[30:35)","circsize",114
"427",2007,"Male","[30:35)","circsize",189
"428",2009,"Male","[30:35)","circsize",205
"429",2011,"Male","[30:35)","circsize",291
"430",2012,"Male","[30:35)","circsize",347
"431",2014,"Male","[30:35)","circsize",400
"432",2016,"Male","[30:35)","circsize",404
"433",1999,"Female","[35:40)","circsize",0
"434",2000,"Female","[35:40)","circsize",0
"435",2002,"Female","[35:40)","circsize",0
"436",2003,"Female","[35:40)","circsize",0
"437",2004,"Female","[35:40)","circsize",0
"438",2006,"Female","[35:40)","circsize",0
"439",2007,"Female","[35:40)","circsize",0
"440",2009,"Female","[35:40)","circsize",0
"441",2011,"Female","[35:40)","circsize",0
"442",2012,"Female","[35:40)","circsize",0
"443",2014,"Female","[35:40)","circsize",0
"444",2016,"Female","[35:40)","circsize",0
"445",1999,"Male","[35:40)","circsize",49
"446",2000,"Male","[35:40)","circsize",44
"447",2002,"Male","[35:40)","circsize",58
"448",2003,"Male","[35:40)","circsize",56
"449",2004,"Male","[35:40)","circsize",77
"450",2006,"Male","[35:40)","circsize",96
"451",2007,"Male","[35:40)","circsize",129
"452",2009,"Male","[35:40)","circsize",185
"453",2011,"Male","[35:40)","circsize",241
"454",2012,"Male","[35:40)","circsize",304
"455",2014,"Male","[35:40)","circsize",326
"456",2016,"Male","[35:40)","circsize",393
"457",1999,"Female","[40:45)","circsize",0
"458",2000,"Female","[40:45)","circsize",0
"459",2002,"Female","[40:45)","circsize",0
"460",2003,"Female","[40:45)","circsize",0
"461",2004,"Female","[40:45)","circsize",0
"462",2006,"Female","[40:45)","circsize",0
"463",2007,"Female","[40:45)","circsize",0
"464",2009,"Female","[40:45)","circsize",0
"465",2011,"Female","[40:45)","circsize",0
"466",2012,"Female","[40:45)","circsize",0
"467",2014,"Female","[40:45)","circsize",0
"468",2016,"Female","[40:45)","circsize",0
"469",1999,"Male","[40:45)","circsize",18
"470",2000,"Male","[40:45)","circsize",41
"471",2002,"Male","[40:45)","circsize",47
"472",2003,"Male","[40:45)","circsize",44
"473",2004,"Male","[40:45)","circsize",55
"474",2006,"Male","[40:45)","circsize",65
"475",2007,"Male","[40:45)","circsize",90
"476",2009,"Male","[40:45)","circsize",117
"477",2011,"Male","[40:45)","circsize",170
"478",2012,"Male","[40:45)","circsize",197
"479",2014,"Male","[40:45)","circsize",263
"480",2016,"Male","[40:45)","circsize",293
"481",1999,"Female","[45:50)","circsize",0
"482",2000,"Female","[45:50)","circsize",0
"483",2002,"Female","[45:50)","circsize",0
"484",2003,"Female","[45:50)","circsize",0
"485",2004,"Female","[45:50)","circsize",0
"486",2006,"Female","[45:50)","circsize",0
"487",2007,"Female","[45:50)","circsize",0
"488",2009,"Female","[45:50)","circsize",0
"489",2011,"Female","[45:50)","circsize",0
"490",2012,"Female","[45:50)","circsize",0
"491",2014,"Female","[45:50)","circsize",0
"492",2016,"Female","[45:50)","circsize",0
"493",1999,"Male","[45:50)","circsize",17
"494",2000,"Male","[45:50)","circsize",19
"495",2002,"Male","[45:50)","circsize",35
"496",2003,"Male","[45:50)","circsize",30
"497",2004,"Male","[45:50)","circsize",30
"498",2006,"Male","[45:50)","circsize",46
"499",2007,"Male","[45:50)","circsize",60
"500",2009,"Male","[45:50)","circsize",71
"501",2011,"Male","[45:50)","circsize",97
"502",2012,"Male","[45:50)","circsize",120
"503",2014,"Male","[45:50)","circsize",157
"504",2016,"Male","[45:50)","circsize",219
"505",1999,"Female","[15:20)","circsize_hivneg",0
"506",2000,"Female","[15:20)","circsize_hivneg",0
"507",2002,"Female","[15:20)","circsize_hivneg",0
"508",2003,"Female","[15:20)","circsize_hivneg",0
"509",2004,"Female","[15:20)","circsize_hivneg",0
"510",2006,"Female","[15:20)","circsize_hivneg",0
"511",2007,"Female","[15:20)","circsize_hivneg",0
"512",2009,"Female","[15:20)","circsize_hivneg",0
"513",2011,"Female","[15:20)","circsize_hivneg",0
"514",2012,"Female","[15:20)","circsize_hivneg",0
"515",2014,"Female","[15:20)","circsize_hivneg",0
"516",2016,"Female","[15:20)","circsize_hivneg",0
"517",1999,"Male","[15:20)","circsize_hivneg",77
"518",2000,"Male","[15:20)","circsize_hivneg",77
"519",2002,"Male","[15:20)","circsize_hivneg",92
"520",2003,"Male","[15:20)","circsize_hivneg",96
"521",2004,"Male","[15:20)","circsize_hivneg",93
"522",2006,"Male","[15:20)","circsize_hivneg",114
"523",2007,"Male","[15:20)","circsize_hivneg",167
"524",2009,"Male","[15:20)","circsize_hivneg",201
"525",2011,"Male","[15:20)","circsize_hivneg",289
"526",2012,"Male","[15:20)","circsize_hivneg",356
"527",2014,"Male","[15:20)","circsize_hivneg",589
"528",2016,"Male","[15:20)","circsize_hivneg",779
"529",1999,"Female","[20:25)","circsize_hivneg",0
"530",2000,"Female","[20:25)","circsize_hivneg",0
"531",2002,"Female","[20:25)","circsize_hivneg",0
